layer,M,N,K,AI_FLOP_per_B,TC_roof_TFLOPS,BW_roof_TFLOPS,roof_TFLOPS,predicted_bound
f_b_proj,1,1536,128,0.9916074887023887,2250,7.9328599096191095,7.9328599096191095,memory
f_b_proj,8,1536,128,7.492682926829269,2250,59.94146341463415,59.94146341463415,memory
f_b_proj,16,1536,128,14.091743119266056,2250,112.73394495412845,112.73394495412845,memory
f_b_proj,64,1536,128,41.513513513513516,2250,332.1081081081081,332.1081081081081,memory
f_b_proj,256,1536,128,80.84210526315789,2250,646.7368421052631,646.7368421052631,memory
f_b_proj,1024,1536,128,105.93103448275862,2250,847.448275862069,847.448275862069,memory
f_b_proj,4096,1536,128,114.8411214953271,2250,918.7289719626168,918.7289719626168,memory
f_b_proj,16384,1536,128,117.30787589498807,2250,938.4630071599046,938.4630071599046,memory
f_b_proj,65536,1536,128,117.94121175764847,2250,943.5296940611878,943.5296940611878,memory
q_b_proj,1,2304,1536,0.9989161066551051,2250,7.991328853240841,7.991328853240841,memory
q_b_proj,8,2304,1536,7.9311531841652325,2250,63.44922547332186,63.44922547332186,memory
q_b_proj,16,2304,1536,15.726962457337883,2250,125.81569965870307,125.81569965870307,memory
q_b_proj,64,2304,1536,59.84415584415584,2250,478.75324675324674,478.75324675324674,memory
q_b_proj,256,2304,1536,200.34782608695653,2250,1602.7826086956522,1602.7826086956522,memory
q_b_proj,1024,2304,1536,485.05263157894734,2250,3880.4210526315787,2250,compute
q_b_proj,4096,2304,1536,752.3265306122449,2250,6018.6122448979595,2250,compute
q_b_proj,16384,2304,1536,872.5207100591716,2250,6980.165680473373,2250,compute
q_b_proj,65536,2304,1536,908.8197226502311,2250,7270.557781201849,2250,compute
o_proj,1,7168,1536,0.9992100738813252,2250,7.993680591050602,7.993680591050602,memory
o_proj,8,7168,1536,7.949722735674676,2250,63.59778188539741,63.59778188539741,memory
o_proj,16,7168,1536,15.800146950771492,2250,126.40117560617193,126.40117560617193,memory
o_proj,64,7168,1536,60.91784702549575,2250,487.342776203966,487.342776203966,memory
o_proj,256,7168,1536,212.9108910891089,2250,1703.2871287128712,1703.2871287128712,memory
o_proj,1024,7168,1536,565.8947368421053,2250,4527.1578947368425,2250,compute
o_proj,4096,7168,1536,966.4719101123595,2250,7731.775280898876,2250,compute
o_proj,16384,7168,1536,1174.2798634812286,2250,9394.238907849829,2250,compute
o_proj,65536,7168,1536,1240.9882777276825,2250,9927.90622182146,2250,compute
fused_qkv_a_proj,1,2112,7168,0.9993873817541161,2250,7.995099054032929,7.995099054032929,memory
fused_qkv_a_proj,8,2112,7168,7.9609598492242455,2250,63.687678793793964,63.687678793793964,memory
fused_qkv_a_proj,16,2112,7168,15.844597762743653,2250,126.75678210194923,126.75678210194923,memory
fused_qkv_a_proj,64,2112,7168,61.58396250976308,2250,492.67170007810466,492.67170007810466,memory
